year,Albania,Austria,Belgium,Bulgaria,Bosnia and Herzegovina,Belarus,Switzerland,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Kosovo,Lithuania,Luxembourg,Latvia,Moldova,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,Republic of Serbia,Slovakia,Slovenia,Sweden,Ukraine
2014,394.7808989059829,395.3790106666666,,396.2501711568938,395.47415846153854,393.6521267080746,396.54909999999995,394.0732900465116,395.4976352975496,392.9514075999999,395.6646694751454,392.49451125,391.5022753333333,394.8751688839615,393.3235885714285,395.70836507919165,396.29858173913027,395.5954360864346,393.4555242307693,,395.6433256011184,395.1167313636364,394.67605333333336,,394.23223,395.2530630170777,396.10931256,394.3668997530865,,392.30459176470583,396.5313161259843,396.6435888659794,397.66780366288504,393.94821587421245,395.7842394476933,394.72374537433154,,391.7618753571429,394.4681891092637
2015,398.37185711845103,398.784696072908,397.7282749270664,398.12107840195523,398.79456358926336,397.3709147637172,398.2246963,398.6991357276119,398.6634969434259,396.72077257564,398.70542814555165,395.5049662620424,395.5306657531239,398.5895864209491,398.34999611595316,398.2315532517111,399.3624514456678,398.1478958267717,400.27560444444447,397.40196814035085,398.1789302247923,397.8476977426637,397.33445346921803,,396.6648406182602,396.46400416666665,398.9065950333704,399.03694712820516,398.95286574585634,395.86976531624407,398.85951810110487,398.4527451725525,397.826736167426,396.7445246801882,398.16571995478347,398.528176931712,399.12046006072876,396.661771558551,397.1749797209952
2016,400.68033719101123,401.8150466354703,401.7251123750001,401.0958807371007,400.13182880111145,400.5903460827353,400.33473959477124,401.17397126384367,400.9912064173487,402.58802848617177,402.0243189277507,401.59511601404057,401.78958240835027,401.3186509779004,402.0274638634301,401.85112943997757,401.04562254332757,401.26962483985767,401.96102040968333,400.78738165381327,401.517897746806,399.90181037433155,400.9139249017858,402.10776,401.88873148817805,399.9900394154818,401.32714312142406,399.8479035167464,402.2406318244406,400.78309811090224,399.71312013398295,401.13064754212667,400.7714413122541,399.6708982637167,401.2368963856883,401.6398825428314,403.2388704069768,401.02766393283696,400.4887731816071
2017,404.98255371257494,404.76879027448535,406.628319010989,405.12402087474237,403.25142618763556,405.8917988903654,405.4406627310924,404.9030474875312,405.4778426060909,406.26963389712296,405.27872427908085,405.13294145010764,405.6219483178646,405.3585213983249,405.5685855256663,405.047770185835,403.7001218884759,404.792198988465,405.00491,403.2192956735877,404.4569825562041,406.75066475609754,405.30730210526315,405.6949106818181,405.7561523825227,404.76771332361517,406.24432460362937,402.9679539240507,408.4381478571429,403.5180841912692,405.4587566574376,404.9963953839101,404.11219356611207,403.0450379749167,405.1473853311475,407.0748108955224,403.9954573453997,405.0924635832901,405.05380373396565
2018,405.7216627356021,405.92980079245285,405.62344614358324,405.2434813573151,405.77250678051513,407.6621592812806,405.7032592642857,405.8257544075993,406.3474761515739,406.0329899843811,406.3300737371434,407.4334992530658,405.71774956039786,,405.75361649872576,406.30602372879594,405.27902157314634,405.12737189737476,405.419065586354,407.5453367350428,405.94105334782347,406.76250749999997,406.58074674656336,406.4485733333333,407.0708428071428,404.837452855814,407.65217507902304,406.0081849673202,406.3341002386118,405.8376781325302,406.51282750953845,405.8641269861928,404.99586152710447,404.97380999525126,406.46855460687476,406.7495802695167,405.5247074093264,406.35251261493664,405.91609237194785
2019,407.67251544939273,409.10443626454605,406.12060181666664,408.75802175382745,409.08779072666664,409.4969965332055,408.5451446189024,409.10684046862593,408.8683020474591,407.51857755771573,408.88396026889717,410.46394374850297,409.7354396277015,,408.8086790215774,407.90331124525665,409.75898790669123,408.2946734020875,408.0074707291667,410.10920362196407,409.0208912560055,407.9574198076924,410.69752996305425,,410.3824477037563,407.9700251196809,407.3098543745203,409.35018471887554,408.8078178801843,408.70639790183515,408.9470638914186,408.8802670243078,408.5140308980721,408.0856874940528,407.72605008758137,409.34332367272725,409.3216411327434,408.85048253229564,407.87568823147075
2020,412.83298758726903,412.2325694247438,411.58216029392116,410.78988241729775,411.8983521570529,411.6249164599825,412.006350442656,410.93204038488454,412.17261970879247,411.74516302536233,411.2552411111111,410.78482253333334,411.43119206074823,,412.2138055512375,411.63755509464914,411.65625067293115,410.83920421699077,413.68815051724135,408.77186700719426,411.30203033307413,412.18943110803326,408.7695253275862,413.3282386486487,409.36876601873536,408.3127569819252,411.49506784063254,412.6755896558318,412.4886479051383,410.001193207113,410.84420448024156,411.4436071679613,410.74856472780664,409.49928143955054,410.51581257345816,411.69782405092593,410.7043978781513,411.01379377696605,410.72699695723236
