year,The Bahamas,Canada,Costa Rica,Cuba,Belize,Dominican Republic,Greenland,Denmark,Guatemala,Honduras,Haiti,Jamaica,Mexico,Nicaragua,Panama,Puerto Rico,El Salvador,Trinidad and Tobago,Argentina,Bolivia,Brazil,Colombia,Chile,Ecuador,Guyana,Peru,Falkland Islands,United Kingdom,Paraguay,Suriname,Uruguay,Venezuela,Afghanistan,United Arab Emirates,Armenia,Azerbaijan,Bangladesh,Brunei,Bhutan,China,Northern Cyprus,Cyprus,Georgia,Indonesia,India,Iran,Iraq,Jordan,Japan,Kazakhstan,Kyrgyzstan,Cambodia,South Korea,Kuwait,Laos,Lebanon,Sri Lanka,Myanmar,Mongolia,Malaysia,Nepal,Oman,Pakistan,Philippines,North Korea,Qatar,Saudi Arabia,Syria,Thailand,Tajikistan,Turkmenistan,East Timor,Turkey,Taiwan,Uzbekistan,Vietnam,Angola,Yemen,Burundi,Benin,Burkina Faso,Botswana,Central African Republic,Ivory Coast,Cameroon,Republic of Congo,Democratic Republic of the Congo,Djibouti,Algeria,Egypt,Ethiopia,Eritrea,Gabon,Ghana,Guinea,Gambia,Guinea Bissau,Equatorial Guinea,Kenya,Liberia,Libya,Lesotho,Morocco,Madagascar,Mali,Mozambique,Mauritania,Malawi,Namibia,Niger,Nigeria,Rwanda,Western Sahara,Sudan,South Sudan,Senegal,Sierra Leone,Somaliland,Somalia,Swaziland,Chad,Togo,Tunisia,United Republic of Tanzania,Uganda,South Africa,Zambia,Zimbabwe,Albania,Austria,Belgium,Bulgaria,Bosnia and Herzegovina,Belarus,Switzerland,Czech Republic,Germany,Spain,Estonia,Finland,New Caledonia,Greece,Croatia,Hungary,Ireland,Iceland,Italy,Kosovo,Lithuania,Luxembourg,Latvia,Moldova,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Republic of Serbia,Slovakia,Slovenia,Sweden,Ukraine,Australia,New Zealand,Papua New Guinea,Solomon Islands,Vanuatu,United States of America,Israel,French Guyana,Russia,Fiji
2014,397.20670479338844,394.06811332976605,397.5088415384615,397.44101764350455,395.74435,396.7145652116651,,392.9514075999999,396.1295993713163,397.1403571428571,396.9598785788562,397.0407808333334,395.7682591855818,397.94576749499,394.6922586666666,394.365635,396.6306278484848,395.88256375000003,395.32230209962097,396.6173730968281,397.61874438304574,397.3826279817113,395.35339462858485,397.8472516299919,397.97788057906456,397.5057361190644,395.2870549334946,393.3235885714285,395.27042526315785,397.1678390625,394.672482440945,397.88991363157896,396.1186239592381,398.1246213979204,396.33127185022033,395.67494679525225,398.99710544971674,397.95910000000003,396.40661786885255,396.31804827400435,397.2471118987342,396.92406000000005,396.5190896100279,396.80161955064733,396.8995887093077,396.27120128447984,396.4013795953672,396.56898452125307,397.04744432802937,394.2881931751767,396.0277891801316,399.3265821884985,396.67016411929825,397.53943076732673,397.86948298647854,395.69222323232316,397.13047102564104,396.62661883319004,395.08409767501564,397.4921472916667,396.22464494479493,396.91803861372705,396.83466272570274,397.42083302281367,396.33768584905664,398.0825452914799,397.10843922973953,395.7477451042478,398.62747505164685,395.38040187054634,395.9297309052232,397.3208476949153,395.6018669509738,397.2847672592593,395.1124569242635,398.4635382091917,397.13306379589767,396.5495446611892,,399.57374377202063,397.88430315830345,395.9973968256665,399.0470281728871,400.9605797709298,399.34418919125676,398.87936594202904,398.635024327768,397.5184612336892,396.69649172320555,395.81419217559346,397.4838269647598,397.2492668493648,400.34275720430105,399.5846567002725,398.9690372966145,398.9441008695652,397.5732935658915,400.1969941935484,397.98853281743743,398.7669190489381,396.52587868313657,396.6048884736428,396.34293865752335,397.0696165214773,397.5167693074909,396.89851388758564,397.58033949461634,397.45060418175166,396.39962434179085,397.1204062817043,397.9253232887173,397.9746920588235,396.81256079881655,396.4302883261729,398.8376513794029,399.1121928694751,399.8254771052632,396.8534637946957,397.82924560774825,400.677135,396.81035440989524,400.7264260792742,397.7535792172897,397.7510885608709,398.2341808677438,395.97406912256906,398.08431036315005,397.3199454892035,394.7808989059829,395.3790106666666,,396.2501711568938,395.47415846153854,393.6521267080746,396.54909999999995,394.0732900465116,395.4976352975496,395.6646694751454,392.49451125,391.5022753333333,397.1036346428572,395.70836507919165,396.29858173913027,395.5954360864346,393.4555242307693,,395.6433256011184,395.1167313636364,394.67605333333336,,394.23223,395.2530630170777,396.10931256,394.3668997530865,,392.30459176470583,396.5313161259843,396.6435888659794,397.66780366288504,395.7842394476933,394.72374537433154,,391.7618753571429,394.4681891092637,396.26398416227516,395.24353760441295,396.63290184482753,397.5647503125,396.4497103846155,395.38934481451975,396.62865782104393,397.3146978801843,393.94821587421245,398.599712027027
2015,399.7017381493506,397.2686471388773,399.52381584933534,400.50892039427265,400.71798499058383,400.20613986295496,396.4751997237569,396.72077257564,399.7990472193489,400.1224339046774,399.933381833607,400.22014912386715,399.59648933933744,399.81494600304416,399.84941836153166,399.4352523504274,399.7221895923262,399.36156858267725,396.18898006636186,398.43162024880894,399.29330542438873,399.67371065451283,396.8976552752294,399.925604984326,399.55298325847457,399.7364998736559,396.5134291032608,398.34999611595316,398.39079151515153,399.3907699348888,395.6196990999174,400.68394567929175,399.6798556853693,402.06447329406984,399.15838225772654,399.74306880151454,400.534242275964,401.02754555555555,399.44769326732666,399.1760724493526,398.35426842266463,398.73848144483367,398.5918456536964,399.1237391930751,401.0948478292155,399.84539870966427,400.3475247763962,399.95393003192174,400.4184124497284,397.17046947948444,398.22326535654594,401.2337643053123,399.8970464912281,401.5769568757613,401.24039341288795,398.5841010819263,400.1603705673759,400.09279321565344,397.8390427368061,400.621964453125,401.50276913558184,400.9272703233229,400.49688391143314,400.0549233207085,399.54616856090377,403.1683210174152,401.12530850381427,400.1379470150319,400.74076750950763,399.3407448255814,398.6032134257754,398.84673117416827,398.72428387918393,399.78144377966106,398.33458433557956,400.67345039686364,399.06323528334815,399.99575150639595,399.84014604422606,402.3243812745098,401.11578568217004,397.30902215694255,401.29482124841655,402.72807583876465,401.71680058773256,401.5361783630883,400.25822281265766,401.0496799360485,400.26082098295905,399.2046235459819,400.7198196482413,400.8595559351369,400.11667890243905,403.35406677281946,402.38456599933755,402.7775629824561,403.24792769086366,399.2319938922156,400.09483841552105,402.0622439069264,399.5594019978959,398.6357008827186,399.82758677717266,398.22738396006054,400.73934056727927,398.5760451550654,401.30177085164553,398.7619430579216,397.6710775000658,400.68126210185795,402.02992422364656,399.45323332799995,400.37203045746327,400.18503659477204,401.98838814218396,402.85490562683935,402.9058693412384,400.03812191607625,400.0285258676949,397.6469649963424,400.23204331304413,403.4360937356521,400.26257273735473,399.46191402647355,399.63836718241873,397.577288896503,398.7616695090771,398.38055686027894,398.37185711845103,398.784696072908,397.7282749270664,398.12107840195523,398.79456358926336,397.3709147637172,398.2246963,398.6991357276119,398.6634969434259,398.70542814555165,395.5049662620424,395.5306657531239,398.93544044907776,398.2315532517111,399.3624514456678,398.1478958267717,400.27560444444447,397.40196814035085,398.1789302247923,397.8476977426637,397.33445346921803,,396.6648406182602,396.46400416666665,398.9065950333704,399.03694712820516,398.95286574585634,395.86976531624407,398.85951810110487,398.4527451725525,397.826736167426,398.16571995478347,398.528176931712,399.12046006072876,396.661771558551,397.1749797209952,397.23732397648405,396.601828887854,398.8898325575174,398.4303736231884,397.77974314285706,398.8784456012469,399.30231672642145,399.61470848932686,396.7445246801882,398.6487647234042
2016,403.3445345046235,399.89816689145306,402.20758935929655,404.0126942425524,403.27798085227266,402.81100736610165,398.36409795570705,402.58802848617177,403.04130566525737,403.11220717751854,402.8400447781218,403.03398600389863,402.8546546708784,402.9362276247943,403.36666215345485,403.00550861344533,402.78447564461607,404.2425442215569,399.6410760329643,401.7503421041739,402.5999578875692,403.3660444223571,400.0478571753869,403.01206180577606,403.5753483989671,402.83903603752,400.43597976580793,402.0274638634301,400.7106051923077,403.2551862386082,399.67725577706324,403.66527481198796,402.96856702562144,404.8759990338099,402.43838836956525,401.6067625843365,403.7985146596154,402.73950815384615,403.2554000660793,402.6094555230355,402.4396012720849,402.7002546966527,402.410372666433,402.57346684161683,403.98658718357404,402.9215445625664,403.31852835733935,402.6592091104973,404.0866070510191,400.94665632063254,401.8060732025208,404.92440133294525,405.1000749059709,404.8092347808535,404.73404934728615,402.0029789870435,403.52112404115223,404.35129807224934,401.5875700887287,403.7882066683218,403.64011205727553,403.8442517508944,403.37383336554996,403.25414844509106,404.18657597425545,405.0284228482759,404.1052700949313,402.9538307026325,404.41980471458254,402.77108742698556,401.96999250367793,401.4515323977695,402.04021168696335,403.74154376502,401.36295524294246,404.052997374637,402.37950945733314,403.67033661565813,403.20856927693427,406.2202865664531,406.14197344425486,400.8495901150555,405.3627261573976,405.80390870914306,405.54843109123266,404.72049048160034,403.6772629602607,404.06642631578944,403.3507600369844,402.2011346332724,404.1491620757041,403.7147461024266,405.3001979264618,409.07120184069447,405.481511235941,405.6655928087167,404.8154478031938,405.70401526315794,403.91275665848707,406.7317557350273,402.54271607910755,400.88647280974374,403.3734450092193,401.2549170490239,404.7238835160322,401.974175530776,404.4572702820319,402.2856137012285,401.00368182165124,403.7389578665052,406.2353046348855,402.9448440994854,403.4258241527987,403.3557353428729,405.1028050173644,405.6331351425837,406.849121221537,403.6193401824185,403.84490220590544,401.5551297120577,403.50396331004976,407.1234020359771,403.6401150268174,402.46332754512684,403.98437318668675,400.7210618984947,402.14441424631804,401.6474051303303,400.68033719101123,401.8150466354703,401.7251123750001,401.0958807371007,400.13182880111145,400.5903460827353,400.33473959477124,401.17397126384367,400.9912064173487,402.0243189277507,401.59511601404057,401.78958240835027,401.81761058488615,401.85112943997757,401.04562254332757,401.26962483985767,401.96102040968333,400.78738165381327,401.517897746806,399.90181037433155,400.9139249017858,402.10776,401.88873148817805,399.9900394154818,401.32714312142406,399.8479035167464,402.2406318244406,400.78309811090224,399.71312013398295,401.13064754212667,400.7714413122541,401.2368963856883,401.6398825428314,403.2388704069768,401.02766393283696,400.4887731816071,400.2157163224607,399.71971156813265,402.2184401887872,402.08955793269223,401.82408564285714,402.21249801766237,402.87283495919155,402.9286053140704,399.6708982637167,401.9979838501292
2017,404.832959719888,403.507680367993,405.59532403587446,406.8602410106652,407.56546229813654,406.65257181688116,401.52122521970705,406.26963389712296,406.49042234443743,406.1332638341014,406.12837394799055,406.4529308080808,405.8167666335666,405.6460949087221,406.4544557500001,405.36165889570555,404.955413390411,406.43809336787564,402.39654858048897,403.508178456486,404.3383557822125,405.77213642021627,402.62897057045456,405.20023913461546,405.56216607272734,404.63010228463963,402.79171994652404,405.5685855256663,403.0046665,405.40957369140625,401.0910098387096,406.7122269537342,406.1115900165801,408.03274086898284,406.1281346534654,405.82774261859123,405.96523604484514,407.03210312500005,406.0282967977527,405.88624380661844,405.155479064588,405.6570479661017,405.6538224366042,404.54008647097197,407.696113938792,406.08881424058006,406.9565175375273,406.66922938833665,406.30258107128515,404.7559958986112,404.8762708523828,407.6414485776997,406.4421689392353,407.2701083035714,407.6665441909814,405.0684523886639,406.7538255388471,407.3516315846209,405.1593635598023,406.4322217563291,406.97371375822104,406.82028259767037,406.12269382331675,407.03663297558495,406.50338360319665,408.764790721942,406.6732783699548,405.6505057105182,406.93432836439496,406.7125114336353,405.9467230827876,403.943152967033,404.66403189554126,403.64361142857143,404.9738333622746,407.20867056603777,403.8652059013256,405.6622299098026,404.9398873411765,406.2810783651685,407.4490916106382,402.3514372947449,406.5209395997358,408.9690272158676,407.0668178454505,405.8618078148855,404.8565016819897,406.1062464185453,406.5657305082632,405.30537008049083,405.9426485203953,406.48129617214835,404.01549911439116,407.147376537641,409.27582292192426,410.95426298245616,409.27947685589515,405.290395,405.84459569957914,404.6856018905472,405.6380433344649,403.3230106657122,406.3668470333198,403.5523621220348,407.40903854048213,403.53425618471124,406.9551366440385,404.3027961237113,402.7432790749803,406.6098584651544,407.9572156320496,404.7131341950113,405.9293972138837,406.33138275660554,407.44941250157234,410.1937375558005,408.8447519358073,405.89124437426113,405.8866097896391,403.88121200726613,405.87085106337145,406.5340506836617,406.3562974384364,404.64209269063963,405.71073306230204,402.7384347275234,403.8278428028473,403.5713708843995,404.98255371257494,404.76879027448535,406.628319010989,405.12402087474237,403.25142618763556,405.8917988903654,405.4406627310924,404.9030474875312,405.4778426060909,405.27872427908085,405.13294145010764,405.6219483178646,403.70663179086546,405.047770185835,403.7001218884759,404.792198988465,405.00491,403.2192956735877,404.4569825562041,406.75066475609754,405.30730210526315,405.6949106818181,405.7561523825227,404.76771332361517,406.24432460362937,402.9679539240507,408.4381478571429,403.5180841912692,405.4587566574376,404.9963953839101,404.11219356611207,405.1473853311475,407.0748108955224,403.9954573453997,405.0924635832901,405.05380373396565,402.1622210219038,402.90781140675927,404.26338392523365,402.71211000000005,403.81869500000005,405.24067887265767,405.7559006120092,403.18204983687605,403.0450379749167,404.09332697058824
2018,406.77532184,405.60266276529615,407.23448167650525,407.9137646193509,408.6982592401217,407.92503993325244,401.73355563798225,406.0329899843811,407.9440854562383,407.94421589050353,407.95515112500004,407.18051427536227,407.6545464860702,407.9730914424243,407.7793074563591,407.9164562962963,407.2209523858215,407.73781447368424,404.1590397152485,405.6506305643879,406.55716083843265,408.155724067238,404.8068632162698,407.0847316096467,407.9696879065421,407.034428120572,404.6394152040816,405.75361649872576,405.2281418181817,407.3901008217717,403.7838320759101,408.6829090116325,407.77817921311583,410.1710567679768,406.96775655906083,408.7089852207621,407.45858402404923,407.3821192307694,407.0611462427746,407.5314559961643,406.8059799518073,405.9844612251656,406.7995790815872,406.42365233384504,409.47697314990415,407.74808133625356,407.92675384759843,407.69169621023593,408.3365306145941,405.7418589329811,406.2155607151037,407.91647190311414,410.06848594266825,408.75062999191914,408.31468741299307,407.6752012421875,408.333472856,409.2839501071652,405.96225715374067,407.75163119,408.8078776667475,409.2698075562001,408.7718627946095,408.0483064943991,409.03471303981166,409.7967004638339,409.21089141964694,407.11470834560754,409.2284251064093,407.6875735163884,406.7423226964734,405.394859028169,406.5076622330844,409.4419513879003,406.1314200899881,407.8704659039221,406.2781196594345,408.1687304681473,407.15159640875913,410.96880574985187,410.11070933565827,404.8556651959879,409.45079743251483,410.86039407751935,409.31211589470604,406.7432735240385,407.13613551989135,408.40459848179023,408.182941349904,406.83404901616154,408.72348768991947,408.42567301817155,406.80943175623804,410.5408640974937,411.3954454799183,411.01436837092734,410.4491438485413,403.22181083333334,407.4886548105124,409.4437999545454,407.50938080612565,405.4339825179649,407.6912063313114,405.34323218350283,409.0307070911717,405.93110527502984,408.48305030431686,405.5719394031301,405.0931639672111,408.7092388110296,409.9194620047565,407.010553549488,407.4935885479058,408.00347919547517,409.959409733587,411.3778749515589,411.9277531826086,408.2365111647228,408.43233548541065,405.695431121673,408.1883611151259,411.57036026758414,407.9354828690607,406.4492271578326,406.93809204123295,404.9589939883012,406.12489380487983,405.6952084052919,405.7216627356021,405.92980079245285,405.62344614358324,405.2434813573151,405.77250678051513,407.6621592812806,405.7032592642857,405.8257544075993,406.3474761515739,406.3300737371434,407.4334992530658,405.71774956039786,406.05226738659445,406.30602372879594,405.27902157314634,405.12737189737476,405.419065586354,407.5453367350428,405.94105334782347,406.76250749999997,406.58074674656336,406.4485733333333,407.0708428071428,404.837452855814,407.65217507902304,406.0081849673202,406.3341002386118,405.8376781325302,406.51282750953845,405.8641269861928,404.99586152710447,406.46855460687476,406.7495802695167,405.5247074093264,406.35251261493664,405.91609237194785,404.57807044815763,404.5073724506894,406.3092741896025,407.1054312068965,406.31478500000003,407.270468071562,407.52951951662607,405.6578404325785,404.97380999525126,406.45218350427353
2019,410.05132374999994,407.86203148274706,409.0812363328198,410.3797652900028,411.2612059779614,410.03536418626527,405.4585238984169,407.51857755771573,409.9050336998448,410.1654755413711,409.9106638976593,410.81368211428577,410.05291301229107,410.02289237741104,409.187968454392,410.74535083333336,409.9188196704021,411.1973133469388,406.32434854241126,408.2615689504716,409.50730220549457,410.03233562808487,406.6707771768108,410.1735557526081,410.350934267968,409.66096735710244,407.4274303160271,408.8086790215774,406.8983038888889,410.4756710072689,406.18508347981003,410.6478941715788,410.0049586842469,412.0201953416848,408.77087748510127,409.71751958353286,409.7351704262968,409.24956525,410.43782309278345,410.0019696308555,409.55716807106603,409.07388316067653,408.7688559136213,409.2365436951656,411.901816756181,410.132729676522,410.3206335210499,409.39634996800714,409.8161931656087,408.14370565994153,408.9597437771166,411.4808978266439,411.3591925455871,411.2130184516735,411.31604316538744,409.0231595336788,409.7333885827665,410.61841993326107,408.9732870387005,410.37325505754484,411.97529095429024,411.8424799602159,411.2292448899415,409.74882925086024,410.9100450440643,412.7811513596764,411.2114140858321,409.2919506113515,411.2678651879497,409.4875478786543,408.86959221425343,409.354629728419,408.5034177262645,410.11191170418005,408.4915803377883,410.79535890829686,409.50561624367634,410.79942566216084,409.60937043367346,412.27297798886025,410.73786282089844,407.7415310510831,412.06488506461153,412.66190820406393,412.19787838682043,410.10733497072596,410.45174893481766,410.97380341629867,410.0684502055817,409.1258749829731,410.3595018717049,411.66534007482716,411.27711419427715,412.8126642089552,412.26274415779164,411.78046839726034,412.1880914905363,410.8439460000001,410.519819012467,411.7404445824847,409.27443329545815,407.82892736094095,410.0900255950299,408.31589836719644,410.85292739019224,408.95009836073166,410.61334574441486,408.90351691976304,407.9841659662928,410.44100125327395,411.5560324078341,410.4323198640776,409.956468870889,410.51364341028375,413.1828002584128,412.39283609485756,413.21521279116456,409.8774767280814,409.80558497030887,408.6973959781122,410.55680031520615,413.33199683323414,410.5110368962293,409.7123756685214,410.01014936827727,407.75774947616253,408.96982130135996,408.32583267969284,407.67251544939273,409.10443626454605,406.12060181666664,408.75802175382745,409.08779072666664,409.4969965332055,408.5451446189024,409.10684046862593,408.8683020474591,408.88396026889717,410.46394374850297,409.7354396277015,409.01936852721457,407.90331124525665,409.75898790669123,408.2946734020875,408.0074707291667,410.10920362196407,409.0208912560055,407.9574198076924,410.69752996305425,,410.3824477037563,407.9700251196809,407.3098543745203,409.35018471887554,408.8078178801843,408.70639790183515,408.9470638914186,408.8802670243078,408.5140308980721,407.72605008758137,409.34332367272725,409.3216411327434,408.85048253229564,407.87568823147075,407.4655249472653,406.5067635858958,409.21306756515264,408.8891108064517,408.3483723312884,409.42296676516725,409.80516319811744,408.5552703661705,408.0856874940528,408.57688545454545
2020,412.7310509722223,409.40507629884496,412.38881347540985,413.18657150809713,413.6877912698413,413.52283493939393,408.3553537277744,411.74516302536233,413.4657979481907,413.40914233290897,413.36709085062245,413.66103522613065,413.1571129998487,412.84880801242235,412.2585002271252,413.4424338095237,412.3159973122529,413.5317484229391,408.3176865316991,410.2360962580645,411.18664855953773,412.75089236963413,409.02066334859586,412.30943128848344,413.05032937424784,411.8968536919117,407.9896956462586,412.2138055512375,408.35671454545457,413.1506153555556,408.6068469320843,413.86003759823654,413.11183808775627,415.9999845796676,412.27731938321534,412.5306480314323,413.41817686934024,412.2330595833334,410.5729916091954,412.71319058848366,413.5755450651941,413.9411921809369,411.75826988039296,411.4515513661005,414.56236733679435,413.45816659941335,412.8727587294509,412.2721083146067,413.12160995780346,410.88584179566885,412.14820832550856,412.66684701626707,415.0258239773895,414.70485132713753,413.4181754676259,411.9561160956175,412.41899779518064,413.4735366018203,411.49888009701067,412.93272990875914,413.78590162042883,414.7047456924325,414.868059447132,412.92947880857434,413.06077663319553,415.27758865075924,414.2626664479545,412.0635111269644,413.33617233496915,412.0472598641386,412.4487447966162,410.7617562972973,411.10386589994266,414.26005925000004,411.4305730813925,413.393369445024,410.80406876859286,414.0047672968614,413.8307775268818,417.06584095637584,415.593162656662,409.27112124503924,414.9354904525567,416.247751088247,416.86249370987474,413.5722335718933,412.695030279227,415.93194826983137,413.0295714764796,412.24150475292646,413.9287252032553,414.3076282425843,414.74045618127786,417.08701308050394,416.72388666916964,416.58119688888894,416.5261251234157,413.2042869811321,412.5670916880108,415.14447205696206,412.32415844775977,410.2086621395349,413.7099609515122,409.6820603844026,414.4447056732994,410.30330267402314,413.9801879417815,409.9800803683058,409.34706953612056,414.41526724884795,416.80467249361243,410.744416,413.1475710795712,413.8737880632974,414.87975302091377,416.692022551789,416.68794680446933,412.2368030871524,412.8292745356583,409.30851065957444,414.1718652133572,416.2322619625882,412.90643010932126,411.10206644996856,412.01789307033204,409.33802064886004,410.63978962568103,409.9350057910191,412.83298758726903,412.2325694247438,411.58216029392116,410.78988241729775,411.8983521570529,411.6249164599825,412.006350442656,410.93204038488454,412.17261970879247,411.2552411111111,410.78482253333334,411.43119206074823,410.7010783400268,411.63755509464914,411.65625067293115,410.83920421699077,413.68815051724135,408.77186700719426,411.30203033307413,412.18943110803326,408.7695253275862,413.3282386486487,409.36876601873536,408.3127569819252,411.49506784063254,412.6755896558318,412.4886479051383,410.001193207113,410.84420448024156,411.4436071679613,410.74856472780664,410.51581257345816,411.69782405092593,410.7043978781513,411.01379377696605,410.72699695723236,408.9105548160253,408.7281202870899,412.1547589356984,411.45182690476184,410.72381567307684,412.66552928390365,412.8306283300306,410.68924761668484,409.49928143955054,410.64134055555553
