year,Brazil,Victoria,Mogadishu,Guangzhou,Lagos
1992,12936.49349574697,1717.3045935339835,45.20581002819712,1692.972786610824,582.0132912075176
1993,395.3353384729453,39.53561865389452,0.953705037048195,117.46261364286465,13.081185721785687
1994,742.6365395598805,76.26010987362656,1.144448037234838,228.13359534920255,23.508323005790317
1995,1128.515713748693,107.34517642325704,1.4305653160822018,346.01057680404415,30.522821793718435
1996,1523.217307404575,138.86588456219465,1.9074184916895476,461.4298057105668,36.30496365683439
1997,1896.5763425308905,165.65650456520893,2.0981618015772625,547.9120527685511,38.67467332394915
1998,2287.985915778596,183.63810715085924,2.0981618015772625,606.966282467509,40.09663201441754
1999,2698.691597113384,199.35896496457008,2.1935316495436297,651.1811948032698,40.66551477940277
2000,3125.098271493798,219.91671062366368,2.2889051114649845,702.601504435723,41.6135156885324
2001,4045.545506709994,427.58979309987603,2.2889051114649845,1159.7386892914662,47.68002234815992
2002,4863.930378308192,510.4901731141065,2.2889051114649845,1573.9387236261357,49.57564270221553
2003,5403.265594507142,550.6637968436073,2.2889051114649845,1808.68359120002,50.23904300977381
2004,6267.582422857147,580.7272759526479,2.2889051114649845,1907.1409661021946,50.61825632767909
2005,6942.124461148156,662.3248971334112,2.2889051114649845,2180.801012347408,65.21532236300902
2006,7551.410260727887,701.541177346345,2.2889051114649845,2392.541170903819,83.98334091279389
2007,8054.592992592152,736.6089438003116,2.384275624591794,2579.4901082997712,90.61904719421216
2008,8474.684299720502,750.5761593035852,2.479647784899761,2727.4141470939503,97.06555047582924
2009,8881.1539829332,777.1173897770243,2.479647784899761,2854.4059904865107,104.55410386373808
2010,9292.078678310754,803.2230593423526,2.479647784899761,2957.878428017387,109.95738898233571
2011,9694.382400447244,827.7971750812628,2.479647784899761,3042.811630954666,113.93907314625301
2012,10268.517162979824,837.7095584183714,3.337982833582643,3105.8429107380407,119.53245475961035
2013,11179.140625590117,853.4611190213348,6.008363582083319,3186.2297663219833,121.71319653091143
2014,11860.721126926914,873.500689446035,8.4879980587043,3215.242741227865,125.22093477492547
2015,12157.894010095042,885.3359382251945,9.632443467619652,3225.622397934233,126.6431863638038
