year,Ottawa,Belgrade,Bandar Seri Begawan,Sucre,Belmopan,Bangui,Yaoundé,Tirana,Yerevan,Baku,Phnom Penh,La Paz,Cotonou,Sofia,Minsk,Thimphu,Gaborone,Canberra,Ouagadougou,Sarajevo
2002,42.8750124,41.89200585,44.6260068,45.62251234999999,35.5180019,38.2649904,44.23001,44.996007999999996,46.607508249999995,49.728002999999994,45.410004,40.14750675,46.2550125,40.452002,38.320007,29.06999175,52.790003,41.6560074,46.59401,38.0370109
2003,41.99801105,42.4515118,46.4600036,44.77000699999999,47.42151295,41.898004,46.650009,47.510009499999995,45.2999921,46.0850075,45.9380076,40.910004,48.038006599999996,43.7105113,36.1970106,30.65750305,52.866006399999996,44.190002,54.6105023,40.946008899999995
2004,38.58001,38.925012,43.1410035,44.8750124,42.4490084,44.05051209999999,44.819992,45.68000775,46.6375045,47.380005,52.659983999999994,41.250011799999996,47.683512549999996,42.40599359999999,33.76301,29.706005999999995,51.19701165,44.524004,52.4630031,39.5960144
2005,42.57400949999999,38.8825,42.6240104,43.1189909,46.000001,40.5550078,43.34001,45.6045065,46.98599379999999,48.3109989,50.1500034,41.03850805,48.200012,40.548010399999995,34.415006749999996,32.408004899999995,52.402502,43.472004549999994,52.56501,38.37251225
2006,40.83200955,40.648010000000006,41.61600925,43.200013,42.7519962,39.2575005,42.8850036,45.860016,47.883996599999996,49.070007,53.9560001,41.0919987,50.27751,41.2389984,35.23800139999999,32.3340026,51.56801165,44.8520028,52.850002249999996,39.052007599999996
2007,41.714000299999995,42.239500899999996,45.9970029,45.28701,44.5070101,44.360016,48.4400043,47.35651,45.565003250000004,48.045008700000004,47.31501,41.61500425,46.5035063,46.5050097,36.50500999999999,33.538488949999994,51.77501,46.95549609999999,50.975006,42.160004
2008,39.31299415,43.4169966,44.2500034,42.848009999999995,42.907000749999995,47.0389984,48.400009,47.047013799999995,45.991503849999994,47.04201,50.890010000000004,40.4439996,46.1675035,44.8060056,34.817505,29.9295028,49.0770139,43.50049309999999,50.080005199999995,41.6480048
2009,38.450012,42.531001,44.558007599999996,47.043011249999985,45.822503,40.2235104,42.992010199999996,46.9605113,44.944009099999995,45.6560102,49.69701165,42.195,49.27501,44.027510299999996,34.6400148,33.775009,47.4535024,45.7180124,53.611508949999994,40.851009999999995
2010,41.14600075,41.5910157,46.8670013,45.5125035,44.7805055,48.485001,46.754004,46.4660024,47.52050655,50.8140084,47.9550072,43.810006599999994,47.5575025,43.379511699999995,39.456012,32.434997499999994,49.04001,45.30800239999999,49.8060121,41.372504549999995
2011,42.4600096,41.564004499999996,43.1670013,43.752509249999996,46.69751,46.170013,45.8530091,45.967504999999996,47.67751,48.26101049999999,37.950012,41.2660024,47.405013749999995,43.7599945,34.862011599999995,32.010508599999994,47.54800439999999,39.77001299999999,51.78698109999999,41.7120048
2012,43.03851,43.22250885,43.1045,43.394004949999996,44.1080014,42.2029961,42.107513,48.17800879999999,47.7690118,49.6880103,53.5450095,39.4490065,48.5960055,46.579987,38.3120148,32.438009900000004,50.2555082,42.7295039,50.58499875,43.4825042
2013,41.06801159999999,43.15201224999999,44.7975015,41.89599,44.344012199999995,40.630005,43.55000724999999,48.0585,47.02201045,47.2475065,45.2075115,41.22200199999998,46.353992000000005,45.576004299999994,38.639505099999994,32.130005,48.857999050000004,46.10801359999999,52.519002449999995,43.3455109
2014,40.38099079999999,39.0250088,46.55601179999999,43.5130106,44.501996,46.504990250000006,47.1340026,45.442012150000004,48.1940124,48.44251225,48.7250035,41.22750875,47.2150115,42.27000760000001,37.9084978,33.333510450000006,51.09001075,49.3590056,52.670013,38.64650445
2015,41.7580058,43.31601,43.93650815,40.85200804999998,47.334504749999994,43.26001,43.0415067,48.19400960000001,49.5640136,49.5750115,51.990005499999995,38.2120088,46.914984,44.8764984,40.6119876,34.26901,54.00450949999999,43.5190118,52.50000479999999,43.4340024
2016,41.935003099999996,37.8329928,44.720012999999994,44.0200115,41.0180005,43.7120064,44.707513,43.4900088,46.886010399999996,50.177991,54.818498299999995,41.72500599999999,45.4250154,41.2270079,36.400002099999995,29.877508999999993,54.5130088,43.8595155,52.320012999999996,37.31501
2017,38.4455075,41.78498880000001,43.555003899999996,44.0160088,44.88450194999999,45.84899045,47.572503,48.475007500000004,47.9660072,48.00098930000001,52.73800895,41.534997350000005,45.64300665,44.9740103,35.3804922,31.085998499999995,51.055509799999996,45.6120056,53.7630095,40.973509799999995
2018,43.684008999999996,41.31650739999999,43.635016,42.0225065,43.6240084,44.969009099999994,44.6770022,45.529012699999996,49.659502849999996,50.012003650000004,45.669506549999994,37.8720154,47.098009999999995,42.850006,36.96250225,32.4500115,53.9950042,42.9165074,54.93749965,38.7180052
