year,Naypyidaw,Nuku'alofa,Hargeisa,Victoria,São Tomé,Apia,Valletta,Malé,Jerusalem,Praia,Nassau,Nicosia,Hanoi,Ankara,Budapest,Sanaa,Bucharest,Damascus,Lisbon,Khartoum
2002,37.5610105,35.610016,48.5640076,37.18701,31.420013,43.8195066,36.34851545,,47.05000275,48.9740049,33.8030059,53.1279968,36.39801,45.71601269999999,41.2405119,45.3840148,44.660016,49.802,43.030004999999996,56.69998
2003,48.596008449999985,37.209002749999996,54.656006,40.320007,36.16250625,43.918005199999996,39.000002099999996,,47.897507000000004,46.761492999999994,39.14350009999999,53.722496,39.350006,47.767009999999985,44.15550415,48.69701,46.0720154,50.5240034,43.192002699999996,57.5405009
2004,50.610016,38.317011949999994,51.76001,39.124005249999996,36.1200046,44.222511,36.0650025,,47.1725,47.0750115,35.77200594999999,53.7090127,38.5880064,45.820007,41.750005999999985,48.639004549999996,42.4749939,50.9325024,43.5985092,58.3504972
2005,52.420013,37.81001,52.120504849999996,40.53000625,37.0660124,44.79001,37.1035157,,46.602008,49.3209995,35.04000825,52.737509749999994,37.244006999999996,46.6230043,40.110016,47.558007999999994,43.7560008,49.599999999999994,43.79001,55.532006599999995
2006,48.2180052,38.010009999999994,51.675010299999975,38.349506399999996,34.4875085,37.825988599999995,36.769009600000004,,46.450012,48.320007,38.135007599999994,52.157001,37.587512000000004,46.637985099999995,42.157506999999995,46.8885117,45.117508,49.9150043,44.4190034,56.825013
2007,47.867509999999996,37.01200599999999,54.0500035,39.56400775,34.4000124,42.9280091,36.63750475,,46.85300605,48.312507749999995,35.2165109,53.5219962,36.851995599999995,49.9310026,43.7840148,48.174005199999996,48.8950045,50.908001399999996,42.610001,56.9574875
2008,44.6139861,37.334002,52.2830014,38.35401465,33.8880064,41.190002,37.89700805,,47.55100679999999,47.295007,41.548009399999984,53.862007000000006,33.894510000000004,47.09201195,41.1020144,47.221008499999996,46.7160096,50.8675005,42.860016,55.910004
2009,45.070007,36.632,53.8575151,36.8190013,34.38751225,42.00401,37.26901,,47.1320008,47.57650585,36.40001,53.2650058,37.118007899999995,45.97901089999999,43.61350805,48.764007799999995,45.45901105,51.45500069999999,43.6264984,55.76001
2010,48.4875105,37.924011199999995,50.09600199999999,38.5780059,34.7640014,44.0500124,36.4370056,,47.143005499999994,47.1460082,34.889984,52.02550195,38.1950117,47.09300499999999,40.64551055,45.8275145,45.90200099999999,51.7575085,45.522516,56.0300092
2011,44.304009199999996,36.349012599999995,52.23001,37.50600549999999,33.9950105,42.880005,35.97500599999999,,46.170013,48.5860106,38.06501,52.53150315,36.8000025,44.4440118,43.0569982,46.77801,44.68050414999999,49.660004,41.51301,55.7979988
2012,43.971008499999996,37.25801059999999,51.640007,40.340012,37.47800425,43.7760068,37.99651,,48.37351545,46.91751075,33.318507149999995,53.07800715,35.0350115,47.402014199999996,45.8875045,46.7995072,47.622513,50.5180018,42.048486399999994,55.449996999999996
2013,48.485,37.38301059999999,50.582512,39.38100455,35.176012799999995,38.952000999999996,37.452008,,46.107013,48.7110006,36.6570079,52.98001,41.18100894999999,45.7425097,46.570007,45.225007000000005,46.195007000000004,50.312508799999996,45.248001,55.2190002
2014,45.2450064,37.8920044,50.692004399999995,38.68550885,34.560004,43.9600109,37.0150145,,46.3080088,48.1500025,37.33500275,52.3300025,35.23701284999999,45.868005999999994,42.1820136,48.15501209999999,44.600006,50.3925,42.3120057,54.258510449999996
2015,45.8069981,38.7525084,53.26001,37.850006,33.092490999999995,42.5549935,37.67201,,46.8100125,48.05850225,36.565002,52.26601,39.2800052,44.66099735,45.32251599999999,47.819001199999995,47.8860048,49.8074986,43.686010399999994,56.037505749999994
2016,47.255004999999976,37.93001059999999,52.76001,40.560010000000005,34.7240091,44.82401245,36.0465015,,46.6620044,47.4000117,38.573993099999996,52.332989899999994,36.04001,45.157510599999995,40.073501050000004,46.739007199999996,44.8620054,49.8600005,43.8680116,55.84850325
2017,43.820505999999995,34.3060112,53.658004899999995,40.923008599999996,35.7780084,36.5920046,37.202000999999996,,47.53950939999999,48.40450745,35.6375079,55.23001,33.137005599999995,46.72801,42.4020144,47.25500245,46.670013,51.579006699999994,43.86900729999999,54.4325024
2018,43.932507,36.0515055,50.655004999999996,39.0505082,36.3450015,42.15001,36.0220086,,47.063994799999996,47.43501,37.4660106,53.990006,36.515003,46.022009,42.24501,46.45000725,44.33800659999999,50.58900595,42.8900148,55.684014999999995
